Customer_ID,Age,Gender,Income,Skin_Type,Previous_Cosmetic_Purchases,Purchase_Frequency,Monthly_Spend,Purchased_New_Product,Age_Group
CUST07363,27,Female,31000.0,Combination,3.0,0.22,120.0,1,26-35
CUST02185,18,Male,53300.0,Dry,2.0,0.19,110.0,0,18-25
CUST06157,18,Male,81200.0,Oily,2.0,0.18,170.0,0,18-25
CUST06163,33,Female,54900.0,Normal,7.0,0.66,250.0,0,26-35
CUST04599,45,Male,64300.0,,5.0,0.44,250.0,1,36-45
CUST07591,21,Female,57800.0,Normal,5.0,0.3,160.0,1,18-25
CUST08819,30,Male,62100.0,Combination,1.0,0.13,100.0,0,26-35
CUST00762,39,Male,,Sensitive,4.0,0.32,180.0,1,36-45
CUST06799,18,Female,29200.0,Dry,5.0,0.4,200.0,1,18-25
CUST08172,24,Male,24900.0,Sensitive,2.0,0.18,110.0,1,18-25
CUST08970,20,Male,34000.0,Oily,3.0,0.29,150.0,0,18-25
CUST09035,40,Male,21700.0,Normal,7.0,0.61,240.0,1,36-45
CUST06786,20,Female,32500.0,Normal,10.0,0.82,240.0,1,18-25
CUST01661,58,Female,60800.0,Oily,3.0,0.16,160.0,0,56+
CUST02886,35,Male,68400.0,Combination,3.0,0.32,200.0,1,26-35
CUST02890,28,Male,40500.0,Combination,8.0,0.65,270.0,0,26-35
CUST01471,33,Female,44700.0,Dry,10.0,0.9,310.0,1,26-35
CUST05690,22,Male,52500.0,Sensitive,3.0,0.3,120.0,1,18-25
CUST09900,26,Female,90800.0,Combination,4.0,0.31,210.0,1,26-35
CUST01088,18,Female,55900.0,Normal,7.0,0.56,290.0,0,18-25
CUST02958,33,Male,,Dry,3.0,0.2,100.0,0,26-35
CUST00705,44,Female,34900.0,Dry,3.0,0.32,100.0,0,36-45
CUST03529,18,Female,47800.0,Oily,3.0,0.21,120.0,1,18-25
CUST06139,30,Male,41300.0,Dry,5.0,0.46,160.0,0,26-35
CUST05771,45,Female,39900.0,Dry,2.0,0.13,100.0,1,36-45
CUST01796,28,Female,94600.0,,9.0,0.85,,1,26-35
CUST03657,29,Male,24200.0,Dry,6.0,0.46,200.0,1,26-35
CUST04454,36,Male,31500.0,Dry,6.0,0.47,130.0,0,36-45
CUST03081,27,Female,20800.0,Normal,2.0,0.1,100.0,0,26-35
CUST01898,37,Female,30400.0,Normal,1.0,0.01,,1,36-45
CUST07147,50,Male,44800.0,Oily,7.0,0.58,280.0,0,46-55
CUST06034,36,Female,,Combination,8.0,0.67,290.0,0,36-45
CUST09750,37,Female,67400.0,Oily,4.0,0.4,220.0,1,36-45
CUST02139,36,Female,35300.0,Oily,2.0,0.15,100.0,0,36-45
CUST03102,26,Female,101400.0,Combination,5.0,0.41,290.0,1,26-35
CUST00577,47,Female,43000.0,Normal,4.0,0.29,120.0,0,46-55
CUST04013,40,Male,,Combination,3.0,0.3,100.0,0,36-45
CUST07857,34,Male,33400.0,Combination,1.0,0.17,100.0,1,26-35
CUST00081,37,Male,35900.0,,2.0,0.14,100.0,0,36-45
CUST00714,32,Male,67000.0,Dry,3.0,0.23,140.0,1,26-35
CUST09441,31,Male,45200.0,Normal,3.0,0.25,150.0,1,26-35
CUST04767,21,Female,,Dry,4.0,0.25,230.0,0,18-25
