Id,sex,age_group,status,tenure,total,region,income,purchased,quantity
7363,Female,18-25,Inactive,74.0,2860.0,South,49100.0,1,8
2185,Female,36-45,Inactive,98.0,3050.0,North,62600.0,1,6
6157,Female,26-35,Active,65.0,770.0,West,30600.0,1,6
6163,Male,36-45,New,16.0,260.0,South,17600.0,1,3
4599,Male,36-45,Active,2.0,40.0,South,50300.0,1,1
7591,Male,36-45,Active,27.0,650.0,North,24800.0,0,3
8819,Female,36-45,Active,36.0,800.0,South,46400.0,1,4
762,Male,36-45,Inactive,26.0,1730.0,,85400.0,0,4
6799,Female,26-35,New,39.0,2210.0,South,72900.0,1,1
8172,Female,36-45,Active,46.0,730.0,North,35600.0,1,5
8970,Female,18-25,Active,33.0,,East,54000.0,1,5
9035,Female,56+,Active,21.0,,North,56500.0,1,3
6786,Female,36-45,Active,50.0,1410.0,South,30300.0,1,4
1661,Male,46-55,Active,103.0,2660.0,North,39200.0,1,7
2886,Male,46-55,Active,12.0,280.0,South,55900.0,0,0
2890,Male,26-35,Active,10.0,160.0,East,30000.0,1,2
1471,Female,26-35,Active,84.0,4500.0,North,56000.0,0,7
5690,Female,56+,Inactive,18.0,300.0,East,38900.0,0,2
9900,Female,26-35,Active,76.0,2180.0,West,29100.0,0,6
1088,Female,36-45,Active,66.0,2110.0,East,37700.0,1,7
2958,Male,26-35,New,108.0,5120.0,West,63500.0,1,10
705,Male,18-25,Active,93.0,2700.0,West,31600.0,1,11
3529,Female,36-45,Active,104.0,5140.0,South,60900.0,1,12
6139,Male,18-25,Active,92.0,4360.0,East,56200.0,1,12
5771,Female,56+,Active,2.0,40.0,North,20900.0,0,1
1796,Male,36-45,New,33.0,930.0,West,38700.0,0,1
3657,Male,56+,Active,21.0,570.0,West,36600.0,0,5
4454,Female,36-45,New,92.0,1230.0,East,17800.0,1,6
3081,Male,26-35,Active,51.0,1570.0,South,52200.0,1,5
1898,Male,26-35,Inactive,109.0,2230.0,East,51400.0,1,5
7147,Male,46-55,Inactive,104.0,7990.0,North,88000.0,1,7
6034,Male,26-35,Active,110.0,1450.0,South,21900.0,1,9
9750,Male,36-45,Inactive,65.0,3470.0,East,58000.0,0,7
2139,Female,46-55,Active,5.0,430.0,North,90700.0,1,2
3102,Male,18-25,Active,98.0,1320.0,South,15800.0,1,10
577,Female,46-55,Active,45.0,310.0,North,,0,6
4013,Female,46-55,Inactive,8.0,490.0,South,136500.0,0,1
7857,Male,36-45,Active,41.0,840.0,North,33000.0,1,4
81,Female,26-35,Active,72.0,2040.0,East,,1,7
714,Female,18-25,Active,33.0,1340.0,North,54200.0,1,2
9441,Female,18-25,Active,39.0,2070.0,North,65300.0,0,3
4767,Female,18-25,Active,43.0,,West,37100.0,0,2
1685,Male,46-55,New,73.0,2660.0,,51500.0,1,4
4915,Male,18-25,Active,9.0,280.0,North,64700.0,1,5
5304,Male,26-35,New,60.0,700.0,North,28700.0,0,6
